E585500002 E580800133 
E603100068 E590400178
E616800054 E613100339
E617200003 E616800055
E655500011 E627300271
E672900055 E655700025
E679100046 E673300065
E694800051 E689700401 
E697200097 E695200067
E699400008 E698500180
E703900015 E703300141
E710400000 E706800145
E712100003 E710800060
E719000122 E714200110
E018400024 E013300395
E030100002 E029800414
E072600308 E057601233
E125300192 E077800535
E404500596 E142200754
E125200186 E064300184 
E198600692 E134800483
E251200371 E208001086
E312800618 E269500958
E373700547 E321200906
E391500057 E385700818
E714800162 E409100777
E451500059 E367800276
E103500527 E127100247 
E190400382 E016800507
E030900083 E029800423
E528100190 E057101201
E067500125 E045900633
E091700052 E067500127
E136700539 E098100322
E184800178 E149500966
E216300202 E188300317
E280700300 E218400324
E396900263 E295100844
E504600230 E400900438 
E568300034 E508000381
E607600170 E568300035 
E616500050 E612900323
E632000000 E616800053
E670600088 E633100049
E067500128 E066700089
E162900356 E113000815
E173500140 E166600472
E176500040 E173500142
E177800008 E177500086
E180100000 E178200040
E212200039 E195800575
E213500095 E212500064
E246200183 E238500985
E273000088 E265900876
E300800041 E299800998	
E356500739 E317600833 
E360600034 E357500769 
E397400270 E389500905
E441700572 E414800948 
E450500016 E445700652 
E498800042 E479600844 
E526400094 E508900426
E540900282 E526500113
E554300098 E543900343
E566800000 E566700560
E569100006 E568600044
E579200022 E572700105
E604800099 E584200218
E619800060 E613000335
E632000003 E631100402
E644700086 E632700031
E650900022 E650000254
E656300038 E652700086
E672600022 E667200418
E680100507 E674100109
E690600021 E681300132
E695400081 E693300114
E696300006 E695500085 
E700600032 E699100216
E703600004 E703300136
E712600024 E707900193
E188300312 E098300329
E353200669 E189800362 
E406800686 E359500816
E451500060 E409200779
E498700038 E474700677 
E540500274 E508000376
E556800181 E544500368
E580600110 E556800185 
E698400162 E580800131
E346700462 E324401010
E373500535 E348300523
E637100002 E378900665
E210500009 E208401095 
E241000039 E235500880
E279100233 E265500867 
E300500032 E294500825 
E369700387 E301000048
E457900202 E371800486
E724900367 E472300621
E399000350 E264700841
E424100078 E406800687
E463800363 E445200634 
E532700084 E473800650
E061300071 E059901311
E065800032 E063600168
E088700027 E077600527
E090900012 E088800028
E120200022 E112300789
E152200009 E149000935
E293000765 E158100193
E324100988 E296600886
E330500010 E324301001
E347600501 E339200277
E369700384 E350500573
E390000007 E377500651
E484900006 E407400712
E532700083 E487900151
E584400231 E536100177
E693500006 E585200270
E710800058 E693500007
E723900344 E711800102 
E400500423 E179800086
E467300451 E400500424
E586000009 E473500646
E618900041 E599200444
E670000048 E631700421
E466000425 E040300444 
E407400720 E117900954
E530500004 E409100776
E330300008 E159800255
E366000213 E349800547
E391100043 E388300874
E420500016 E415800994
E504300216 E446100672
E253500473 E207201049
E311900587 E269900967
E309600497 E158300213
E335300138 E311900588
E167300031 E158200212
E180600017 E179800083
E135100494 E118500973
E316000773 E135400508
E176200020 E149300955 
E183900139 E177200075
E186400264 E187400294
E216500215 E208401094
E232700816 E227400666
E240700986 E238500986
E257100612 E243700088
E271600045 E262700795
E309500476 E299500982
E334000104 E323200959
E359700831 E357400764
E360900055 E359800836
E446400686 E375700627
E458700216 E446900704
E498000001 E476600742
E516500172 E498100005
E524300003 E524100446
E530900028 E527900181
E548600000 E545100385
E553600068 E550700083
E581600156 E553800088
E586600036 E583000186
E601200014 E589500157
E609300224 E604100088
E619100045 E609300225
E637500021 E628000295
E652900092 E641900113
E669500026 E653500109
E672500020 E671200112
E680300110 E673600074
E696300001 E689700398
E699400009 E698400174
E581100138 E574200161
E724300352 E436700444 
E158000186 E153400063
E485500041 E158000187
E590000166 E491400216
E657100060 E592000237 
E679600071 E658100099 
E711700093 E686600274 
E724500358 E711800101 
E152400020 E073300337
E337700210 E153400064
E393000118 E337700214
E450000000 E416301029
E485500040 E450300011
E510700023 E495700324
E551200114 E511000040
E607900194 E551200116
E617300004 E609700232
E635100104 E629600350
E657000056 E635700126
E669800042 E661000235
E677700003 E671200109
E714200115 E688100330
E401400462 E337600208
E552100011 E401500466
E065900038 E013100378
E471300588 E065900039
E493100266 E023800243
E515800144 E426100120
E572200082 E515800146
E589300152 E574000131
E600700005 E589500158
E065600015 E023500219 
E390100021 E065600016
E689800403 E654600149
E714100104 E689800405
E167000005 E166500458
E572400094 E028400382
E326201042 E024900270
E522100367 E326201043
E336100157 E089800058
E448100736 E342800382
E450900035 E448100737
E481300025 E450900036
E485600047 E481600036
E519200257 E496700343
E530800019 E521800349
E533600106 E531100040
E546200016 E533800114
E587200050 E546700026
E654700157 E587200054
E665700375 E654800161 
E688500357 E665700376
