Petronius   E017600002 E017900008
Glaucus     E167900065 E217100477
            E217100477 E240700018
            E240700018 E245400090
            E245400090 E271000013
            E271000013 E300400787
            E300400787 E360500014
            E360500014 E526300086
            E526300086 E527000136
            E527000136 E658400106
            E658400106 E658600109
            E658600109 E184400315
            E184400315 E185300366
            E185300366 E185800474
            E185800474 E185800475
            E185800475 E245400802
            E245400802 E526300090
            E526300090 E654900213
            E654900213 E658300098
            E658300098 E659300200
           
Petru       E212800155 E307400260
            E307400260 E307600969
            E307600969 E315501175
            E315501175 E360800033
            E360800033 E361300048
            E361300048 E365500136
            E365500136 E366500567
            E366500567 E367500173
            E367500173 E388700667
            E388700667 E401900112
            E401900112 E411600199
            E411600199 E412000203
            E412000203 E442100579
            E442100579 E446000666
            E446000666 E454100130
            E454100130 E498000000
            E498000000 E500100084
            E500100084 E501100105
            E501100105 E508000380
            E508000380 E566800001
            E566800001 E607300159
            E607300159 E616500045
            E616500045 E649500265
            E649500265 E704000018
            E704000018 E705000054
            E705000054 E705300073
            E705300073 E176700050
            E176700050 E186500520
            E186500520 E195601171
            E195601171 E209302368
            E209302368 E213500174
            E213500174 E213900210
            E213900210 E214100228
            E214100228 E214500255
            E214500255 E215700319
            E215700319 E218700597
            E218700597 E219100633
            E219100633 E220500714
            E220500714 E257900421
            E257900421 E274000040
            E274000040 E371800591
            E371800591 E381800618
            E381800618 E393100033
            E393100033 E396400494
            E396400494 E396400054
            E396400054 E396500501
            E396500501 E398900078
            E398900078 E466100441
            E466100441 E466500453
            E466500453 E507500350
            E507500350 E507900373
            E507900373 E527000135
            E527000135 E568000024
            E568000024 E579200024
            E579200024 E649200255
            E649200255 E664900326
            E664900326 E696400012
            E696400012 E696600036
            E696600036 E175300170
            E175300170 E312301102
            E312301102 E174700163
            E174700163 E174400155
            E174400155 E697100095
            E697100095 E697600221
            E697600221 E701800165
            E701800165 E701800053
            E701800053 E699400003
            E699400003 E701000027
            E701000027 E703600001
            E703600001 E704600048
            E704600048 E709700194
             

Processus+Martinianus
           E703600005 E704100019
           
Nero        E023500338 E046800403
            E046800403 E052500557
            E052500557 E061100041
            E061100041 E062300191
            E062300191 E064900330
            E064900330 E065700020
            E065700020 E065900045
            E065900045 E070000416
            E070000416 E078901063
            E078901063 E081500015
            E081500015 E082500033
            E082500033 E082900047
            E082900047 E083800194
            E083800194 E289701487
            E289701487 E311000403
            E311000403 E323801306
            E323801306 E324401323
            E324401323 E325501336
            E325501336 E327701366
            E327701366 E328701380
            E328701380 E330700004
            E330700004 E336400064
            E336400064 E336800072
            E336800072 E337800090
            E337800090 E347200186
            E347200186 E348300199
            E348300199 E350500219
            E350500219 E371000295
            E371000295 E382800494
            E382800494 E393800040
            E393800040 E395100066
            E395100066 E396300052
            E396300052 E405200141
            E405200141 E416100990
            E416100990 E416701013
            E416701013 E418600260
            E418600260 E419401061
            E419401061 E420500015
            E420500015 E421600036
            E421600036 E422700055
            E422700055 E425800117
            E425800117 E427500139
            E427500139 E429000189
            E429000189 E430300238
            E430300238 E432000278
            E432000278 E433700354
            E433700354 E434600383
            E434600383 E436500437
            E436500437 E436700443
            E436700443 E437300453
            E437300453 E440400543
            E440400543 E448400757
            E448400757 E449200779
            E449200779 E450100001
            E450100001 E481600034
            E481600034 E484600147
            E484600147 E511000036
            E511000036 E511100046
            E511100046 E511300056
            E511300056 E514800113
            E514800113 E515400127
            E515400127 E516900189
            E516900189 E517400215
            E517400215 E519700275
            E519700275 E519900278
            E519900278 E519900283
            E519900283 E519900286
            E519900286 E521400329
            E521400329 E521900360
            E521900360 E524000442
            E524000442 E524300002
            E524300002 E524900039
            E524900039 E525200054
            E525200054 E525700072
            E525700072 E527000155
            E527000155 E529000219
            E529000219 E529400231
            E529400231 E530600013
            E530600013 E531200043
            E531200043 E535700160
            E535700160 E537600216
            E537600216 E572400096
            E572400096 E574400163
            E574400163 E593100275
            E593100275 E602100037
            E602100037 E637000000
            E637000000 E637400012
            E637400012 E655500002
            E655500002 E674400001
            E674400001 E675400036
            E675400036 E688500356
            E688500356 E689300375
            E689300375 E693500001
            E693500001 E703900009
            E703900009 E710500008
            E710500008 E710500011
            E710500011 E002200111
            E002200111 E004300184
            E004300184 E019200064
            E019200064 E046500397
            E046500397 E060100001
            E060100001 E061200052
            E061200052 E061800076
            E061800076 E061800078
            E061800078 E063700298
            E063700298 E065500009
            E065500009 E067400194
            E067400194 E068000214
            E068000214 E080500002
            E080500002 E083200147
            E083200147 E085100240
            E085100240 E090900010
            E090900010 E152100006
            E152100006 E154700195
            E154700195 E155000200
            E155000200 E155300211
            E155300211 E156900254
            E156900254 E157500274
            E157500274 E158000286
            E158000286 E171400023
            E171400023 E185300378
            E185300378 E190400825
            E190400825 E200301614
            E200301614 E262100518
            E262100518 E311801094
            E311801094 E320500627
            E320500627 E321601278
            E321601278 E322101285
            E322101285 E323401302
            E323401302 E324301322
            E324301322 E328000738
            E328000738 E336100060
            E336100060 E337400081
            E337400081 E366000148
            E366000148 E380700460
            E380700460 E381800618
            E381800618 E381800620
            E381800620 E391100020
            E391100020 E393100404
            E393100404 E393500421
            E393500421 E399200578
            E399200578 E401800655
            E401800655 E401900664
            E401900664 E407200789
            E407200789 E407400794
            E407400794 E416301001
            E416301001 E416401006
            E416401006 E418001036
            E418001036 E420000000
            E420000000 E428100158
            E428100158 E428600166
            E428600166 E428700178
            E428700178 E429400208
            E429400208 E429700227
            E429700227 E430500242
            E430500242 E431100249
            E431100249 E431800264
            E431800264 E431800268
            E431800268 E432500298
            E432500298 E433000325
            E433000325 E433100331
            E433100331 E433400347
            E433400347 E434300370
            E434300370 E434500380
            E434500380 E435100400
            E435100400 E435500418
            E435500418 E436000424
            E436000424 E436300432
            E436300432 E461400302
            E461400302 E462200322
            E462200322 E484600145
            E484600145 E484900010
            E484900010 E485800052
            E485800052 E485700047
            E485700047 E485800053
            E485800053 E486700100
            E486700100 E487400121
            E487400121 E488100146
            E488100146 E488200150
            E488200150 E488200153
            E488200153 E488600162
            E488600162 E490400185
            E490400185 E493300266
            E493300266 E498000002
            E498000002 E509300001
            E509300001 E511200054
            E511200054 E512900085
            E512900085 E514100108
            E514100108 E514800114
            E514800114 E514800115
            E514800115 E520800310
            E520800310 E523600428
            E523600428 E523600431
            E523600431 E523700437
            E523700437 E524700033
            E524700033 E525300059
            E525300059 E525400065
            E525400065 E526700124
            E526700124 E528000185
            E528000185 E532500073 
            E532500073 E549900022
            E549900022 E550700059
            E550700059 E570100033
            E570100033 E587800072
            E587800072 E598700432
            E598700432 E615500001
            E615500001 E617400001
            E617400001 E634800107
            E634800107 E637800024
            E637800024 E655600006
            E655600006 E660800238
            E660800238 E661700252
            E661700252 E669200009
            E669200009 E677600000
            E677600000 E679500068
            E679500068 E683600186
            E683600186 E689700387
            E689700387 E690200002
            E690200002 E696900087
            E696900087 E696900165
            E696900165 E703000089
            E703000089 E706800111
            E706800111 E711700101
            E711700101 E713600076
            E713600076 E714200121
           

vestale     E587700068 E627600381
           

oaspeți     E336100624 E337700648
            E337700648 E338500677
           

Mastigofori E590600186 E680400114
           

Lanio       E593400282 E594700309
            E594700309 E596100344
            E596100344 E597200390
           
Calendio    E593500288 E594900317
            

Festus      E601300015 E601600021
            E601600021 E601700023
            

Tullius     E426100119 E515800144
            E515800144 E572200082
            E572200082 E589300152
            E589300152 E600700005
           

Priam       E405500752 E420100005
            

Lucan       E081900060 E417300256
            

Miriam      E359500280 E360400002
            E360400002 E251300252
            E251300252 E621500175
            E621500175 E702500072
                

IuliusCaesar
			E310100391 E395000047
            

Aliturus    E550700055 E485100015
           

Nazarius    E251400254 E620800133
            E620800133 E360400004             
			E360400004 E620300080
            E620300080 E696400008
            E696400008 E699400001
            E699400001 E700800025
            E700800025 E699400002
            E699400002 E701800048
           

oaspeți     E081400012 E082200029
            E082200029 E084200206
            E084200206 E347900801
            E347900801 E642100125
          

zei         E207502260 E212500112
            E212500112 E252301063
            E252301063 E323801307
            E323801307 E381600474
            E381600474 E382200485
            E382200485 E414300931
            E414300931 E427800148
            E427800148 E441300563
            E441300563 E459400239
            E459400239 E466200446
            E466200446 E484300128
            E484300128 E501600125
            E501600125 E517200206
            E517200206 E517800220
            E517800220 E637200007
            E637200007 E652600111
            E652600111 E695700087
            

brutar_Demas
			E178900053 E353200245
            E353200245 E398900077
            E398900077 E398800565
            
libert_Demas
			E269501505 E353200889
            

Aper        E534100120 E534700137
            

Ursus       E088100000 E217100476
            E217100476 E220700753
            E220700753 E232901401
            E232901401 E240600013
            E240600013 E244900766
            E244900766 E271800025
            E271800025 E303200126
            E303200126 E349800203
            E349800203 E372100320
            E372100320 E393200035
            E393200035 E398200070
            E398200070 E398700072
            E398700072 E439300506
            E439300506 E439300508
            E439300508 E463700370
            E463700370 E502900155
            E502900155 E540200269
            E540200269 E620400103
            E620400103 E643900055
            E643900055 E646400146
            E646400146 E672800039
            E672800039 E686800285
            E686800285 E690200007
            E690200007 E696400023
            E696400023 E086800398
            E086800398 E088200006
            E088200006 E090200002
            E090200002 E179200064
            E179200064 E179300070
            E179300070 E183300238
            E183300238 E180800051
            E180800051 E186000488
            E186000488 E192600961
            E192600961 E201801869
            E201801869 E202201938
            E202201938 E238401627
            E238401627 E258201423
            E258201423 E286500254
            E286500254 E303300128
            E303300128 E310600394
            E310600394 E327700729
            E327700729 E676200067
            E676200067 E679200048
            E679200048 E679400062
            E679400062 E679500070
            E679500070 E679900102
            E679900102 E680100105
            E680100105 E680400112
            E680400112 E682100149
            E682100149 E683300175
            E683300175 E683600185
            E683600185 E683700194
            E683700194 E686100249
            E686100249 E686600270
            
Ligia+Ursus E094600151 E165300664
            E165300664 E459100235
            E459100235 E676200068
            E676200068 E690000413
            E690000413 E693600012
            

Octavia     E023500341 E065600014
            E065600014 E104700540
           

Thraseas    E023500345 E688400348
            E688400348 E711400092
            

senatori    E491400205 E590000166
            E590000166 E657100032
            E657100032 E679600071
            E679600071 E711700099
            

Euricius    E169200103 E172400052
            E172400052 E177700000
            E177700000 E240900030
            E240900030 E467300463
            E467300463 E166400690
            E166400690 E166601090
            E166601090 E166800000
            E166800000 E167300033
            E167300033 E167800061
            E167800061 E172600072 
            E172600072 E180900082
            E180900082 E202001897
            E202001897 E208902333
           
fiu_Euricius
			E166500695 E167100018
            E167100018 E172800085
           

doi_rabbi   E523400406 E523500409
            

prezbiteri  E167400044 E173200120
            E173200120 E173300122
            

un_băiat    E169200100 E172400055
            

pop_ligian  E080101119 E012400479
            E012400479 E102100441
            E102100441 E286301453
            

Rufinus     E024500416 E572500103
            

Otho        E337600083 E401400106
            

Pomponia    E025700470 E030300014
            E030300014 E030500027
            E030500027 E031700089
            E031700089 E030500027
            E030500027 E030700037
            E030700037 E033500174
            E033500174 E037600251
            E037600251 E037800259
            E037800259 E038400272
            E038400272 E038800282
            E038800282 E045600386
            E045600386 E052200549
            E052200549 E062600203
            E062600203 E066600073
            E066600073 E076700982
            E076700982 E214300248
            E214300248 E251801176
